"Property","Vintage","Description","PriceExTax","BottleSize","PageURL","LwinCode","BBRProductCode"
"Giuseppe Quintarelli","2004","Amarone della Valpolicella Classico, Giuseppe Quintarelli, Veneto, Italy","2250","Case of 6 Bottles","https://www.bbr.com/products-20041501540-2004-amarone-della-valpolicella-classico-giuseppe-quintarelli-veneto-italy","1103786","20041501540"
"Giuseppe Quintarelli","2006","Amarone della Valpolicella Classico, Giuseppe Quintarelli, Veneto, Italy","3900","Case of 6 Magnums","https://www.bbr.com/products-20061501540-2006-amarone-della-valpolicella-classico-giuseppe-quintarelli-veneto-italy","1103786","20061501540"
"Giuseppe Quintarelli","2007","Amarone della Valpolicella Classico, Giuseppe Quintarelli, Veneto, Italy","1995","Case of 6 Bottles","https://www.bbr.com/products-20071501540-2007-amarone-della-valpolicella-classico-giuseppe-quintarelli-veneto-italy","1103786","20071501540"
"Giuseppe Quintarelli","2007","Amarone della Valpolicella Classico, Giuseppe Quintarelli, Veneto, Italy","675","Case of 1 Magnums","https://www.bbr.com/products-20071501540-2007-amarone-della-valpolicella-classico-giuseppe-quintarelli-veneto-italy","1103786","20071501540"
"Allegrini","2016","Amarone della Valpolicella, Classico, Fieramonte, Riserva, Allegrini,Veneto, Italy","750","Case of 3 Bottles","https://www.bbr.com/products-20168159399-2016-amarone-della-valpolicella-classico-fieramonte-riserva-allegrini-veneto-italy","1731378","20168159399"
"Marion","2012","Amarone della Valpolicella, Marion, Marcellise, Veneto","974.1","Case of 6 Bottles","https://www.bbr.com/products-20121363160-2012-amarone-della-valpolicella-marion-marcellise-veneto","1363160","20121363160"
"Speri","2019","Amarone della Valpolicella, Monte Sant'Urbano, Speri, Veneto, Italy","285","Case of 6 Bottles","https://www.bbr.com/products-20198027759-2019-amarone-della-valpolicella-monte-sant-urbano-speri-veneto-italy","1449035","20198027759"
"An Approach To Relaxation","2019","An Approach to Relaxation, Sucette, Barossa Valley, Australia","525","Case of 12 Bottles","https://www.bbr.com/products-20198048394-2019-an-approach-to-relaxation-sucette-barossa-valley-australia","1592148","20198048394"
"Andrew Will Winery","2014","Andrew Will, Two Blondes Vineyard, Yakima Valley, Washington State, USA","480","Case of 12 Bottles","https://www.bbr.com/products-20148005670-2014-andrew-will-two-blondes-vineyard-yakima-valley-washington-state-usa","1525737","20148005670"
"Terra Vita Vinum","2019","Anjou Blanc, Grandes Rogeries, Terra Vita Vinum, Loire","315","Case of 6 Bottles","https://www.bbr.com/products-20198074261-2019-anjou-blanc-grandes-rogeries-terra-vita-vinum-loire","2705978","20198074261"
"Domaine Belargus","2020","Anjou, Quarts, Domaine Belargus, Loire","750","Case of 6 Bottles","https://www.bbr.com/products-20208152866-2020-anjou-quarts-domaine-belargus-loire","2173115","20208152866"
"Domaine Belargus","2021","Anjou, Quarts, Domaine Belargus, Loire","550","Case of 6 Bottles","https://www.bbr.com/products-20218152866-2021-anjou-quarts-domaine-belargus-loire","2173115","20218152866"
"Domaine Belargus","2020","Anjou, Ronceray, Domaine Belargus, Loire","360","Case of 6 Bottles","https://www.bbr.com/products-20208163187-2020-anjou-ronceray-domaine-belargus-loire","2080406","20208163187"
"Domaine Belargus","2020","Anjou, Treilles, Domaine Belargus, Loire","450","Case of 3 Bottles","https://www.bbr.com/products-20208169105-2020-anjou-treilles-domaine-belargus-loire","2173131","20208169105"
"Domaine Belargus","2021","Anjou, Treilles, Domaine Belargus, Loire","425","Case of 3 Bottles","https://www.bbr.com/products-20218169105-2021-anjou-treilles-domaine-belargus-loire","2173131","20218169105"
"Domaine Belargus","2020","Anjou, Veau, Domaine Belargus, Loire","420","Case of 6 Bottles","https://www.bbr.com/products-20208169091-2020-anjou-veau-domaine-belargus-loire","2173102","20208169091"
"Chateau Marjosse","2020","Anthologie de Marjosse, Cuvee Ortolan, Chateau Marjosse, Vin de France","115","Case of 6 Bottles","https://www.bbr.com/products-20208072528-2020-anthologie-de-marjosse-cuvee-ortolan-chateau-marjosse-vin-de-france","2015796","20208072528"
"Anwilka","2007","Anwilka, Stellenbosch, South Africa","120","Case of 6 Bottles","https://www.bbr.com/products-20078015024-2007-anwilka-stellenbosch-south-africa","1118568","20078015024"
"Anwilka","2008","Anwilka, Stellenbosch, South Africa","160","Case of 6 Bottles","https://www.bbr.com/products-20088015024-2008-anwilka-stellenbosch-south-africa","1118568","20088015024"
