"Property","Vintage","Description","PriceExTax","BottleSize","PageURL","LwinCode","BBRProductCode"
"Domaine Gaston Huet","","1989 Assortment case 3, Domaine Gaston Huet, 2014 Release (6bts)","550","Case of 1 6 Bottle Assortments","https://www.bbr.com/products-10008100203-1989-assortment-case-3-domaine-gaston-huet-2014-release-6bts","9005033","10008100203"
"Domaine Gaston Huet","","1989 Assortment case, Domaine Gaston Huet, 2014 Release (6bts)","450","Case of 1 6 Bottle Assortments","https://www.bbr.com/products-10008100287-1989-assortment-case-domaine-gaston-huet-2014-release-6bts","9004951","10008100287"
"Vega Sicilia","2007","2007 Unico Reserva Especial (1990, 1991, 1994), Vega Sicilia, Ribera del Duero, Spain","1225","Case of 3 Bottles","https://www.bbr.com/products-20078048495-2007-2007-unico-reserva-especial-1990-1991-1994-vega-sicilia-ribera-del-duero-spain","1219757","20078048495"
"Vega Sicilia","2008","2008 Unico Reserva Especial (1990, 1991, 1996), Vega Sicilia, Ribera del Duero, Spain","1250","Case of 3 Bottles","https://www.bbr.com/products-20088004758-2008-2008-unico-reserva-especial-1990-1991-1996-vega-sicilia-ribera-del-duero-spain","1219757","20088004758"
"Taylor Fladgate","","2011 Vintage Collection Tri-Pack (Taylor, Croft, Fonseca)","600","Case of 1 s","https://www.bbr.com/products-10008104344-2011-vintage-collection-tri-pack-taylor-croft-fonseca","1649406","10008104344"
"Vega Sicilia","","2020 Unico Reserva Especial (2008, 2009, 2010), Vega Sicilia, Ribera del Duero, Spain","1200","Case of 3 Bottles","https://www.bbr.com/products-10008044468-2020-unico-reserva-especial-2008-2009-2010-vega-sicilia-ribera-del-duero-spain","1219757","10008044468"
"Alessandro & Gian Natale Fantino","2010","A. & G. Natale Fantino, Laboro Disubbidiente per Terra Madre, Italy","240","Case of 6 Bottles","https://www.bbr.com/products-20108205399-2010-a-g-natale-fantino-laboro-disubbidiente-per-terra-madre-italy","1356876","20108205399"
"Alessandro & Gian Natale Fantino","2016","A. & G. Natale Fantino, Laboro Disubbidiente per Terra Madre, Italy","263","Case of 6 Bottles","https://www.bbr.com/products-20168205399-2016-a-g-natale-fantino-laboro-disubbidiente-per-terra-madre-italy","1356876","20168205399"
"Alessandro & Gian Natale Fantino","2013","A. &amp; G. Natale Fantino, Laboro Disubbidiente per Terra Madre, Italy","210","Case of 6 Bottles","https://www.bbr.com/products-20138205399-2013-a-and-g-natale-fantino-laboro-disubbidiente-per-terra-madre-italy","1356876","20138205399"
"A. A. Badenhorst","2023","A. A. Badenhorst Family Wines, Grensloos Chenin Blanc, Swartland, South Africa","195","Case of 6 Bottles","https://www.bbr.com/products-20238255538-2023-a-a-badenhorst-family-wines-grensloos-chenin-blanc-swartland-south-africa","3053458","20238255538"
"Blank Bottle","2020","A. A. Badenhorst Family Wines, Klip Kop (Haut-Granitika) Steen Chenin Blanc, Swartland, South Africa","130","Case of 6 Bottles","https://www.bbr.com/products-20208167592-2020-a-a-badenhorst-family-wines-klip-kop-haut-granitika-steen-chenin-blanc-swartland-south-africa","1994984","20208167592"
"Aalto","2010","Aalto PS, Ribera del Duero, Spain","562","Case of 6 Bottles","https://www.bbr.com/products-20108212700-2010-aalto-ps-ribera-del-duero-spain","1119611","20108212700"
"Aalto","2018","Aalto PS, Ribera del Duero, Spain","577","Case of 6 Bottles","https://www.bbr.com/products-20188212700-2018-aalto-ps-ribera-del-duero-spain","1119611","20188212700"
"Abreu Vineyards","2015","Abreu Vineyards, Cappella, Napa Valley, California, USA","900","Case of 3 Bottles","https://www.bbr.com/products-20158112996-2015-abreu-vineyards-cappella-napa-valley-california-usa","1182297","20158112996"
"Abreu Vineyards","2016","Abreu Vineyards, Madrona Ranch, Napa Valley, California, USA","995","Case of 3 Bottles","https://www.bbr.com/products-20168115955-2016-abreu-vineyards-madrona-ranch-napa-valley-california-usa","1121405","20168115955"
"Abreu Vineyards","2018","Abreu Vineyards, Madrona Ranch, Napa Valley, California, USA","1219","Case of 3 Bottles","https://www.bbr.com/products-20188115955-2018-abreu-vineyards-madrona-ranch-napa-valley-california-usa","1121405","20188115955"
"Abreu Vineyards","2015","Abreu Vineyards, Rothwell Hyde Red, Napa Valley, California, USA","760","Case of 6 Bottles","https://www.bbr.com/products-20158105905-2015-abreu-vineyards-rothwell-hyde-red-napa-valley-california-usa","1186338","20158105905"
"Abreu Vineyards","2016","Abreu Vineyards, Rothwell Hyde Red, Napa Valley, California, USA","760","Case of 6 Bottles","https://www.bbr.com/products-20168105905-2016-abreu-vineyards-rothwell-hyde-red-napa-valley-california-usa","1186338","20168105905"
"Abreu Vineyards","2015","Abreu Vineyards, Thorevilos, Napa Valley, California, USA","1500","Case of 3 Bottles","https://www.bbr.com/products-20158115942-2015-abreu-vineyards-thorevilos-napa-valley-california-usa","1121418","20158115942"
"Abreu Vineyards","2017","Abreu Vineyards, Thorevilos, Napa Valley, California, USA","2800","Case of 3 Bottles","https://www.bbr.com/products-20178115942-2017-abreu-vineyards-thorevilos-napa-valley-california-usa","1121418","20178115942"
"Achaval Ferrer","2010","Achaval Ferrer, Finca Altamira, Malbec, Mendoza, Argentina","800","Case of 6 Bottles","https://www.bbr.com/products-20108221942-2010-achaval-ferrer-finca-altamira-malbec-mendoza-argentina","1000564","20108221942"
"Achaval Ferrer","2013","Achaval Ferrer, Finca Altamira, Malbec, Mendoza, Argentina","325","Case of 6 Bottles","https://www.bbr.com/products-20138221942-2013-achaval-ferrer-finca-altamira-malbec-mendoza-argentina","1000564","20138221942"
"Achaval Ferrer","2015","Achaval Ferrer, Finca Altamira, Malbec, Mendoza, Argentina","390","Case of 6 Bottles","https://www.bbr.com/products-20158221942-2015-achaval-ferrer-finca-altamira-malbec-mendoza-argentina","1000564","20158221942"
"Achaval Ferrer","2013","Achaval Ferrer, Finca Mirador, Malbec, Mendoza, Argentina","300","Case of 6 Bottles","https://www.bbr.com/products-20138221900-2013-achaval-ferrer-finca-mirador-malbec-mendoza-argentina","1000580","20138221900"
"Achaval Ferrer","2015","Achaval Ferrer, Finca Mirador, Malbec, Mendoza, Argentina","350","Case of 6 Bottles","https://www.bbr.com/products-20158221900-2015-achaval-ferrer-finca-mirador-malbec-mendoza-argentina","1000580","20158221900"
"Chateau Mouton Rothschild","2013","Aile d'Argent Blanc, Chateau Mouton Rothschild, Bordeaux","545","Case of 6 Bottles","https://www.bbr.com/products-20138123161-2013-aile-d-argent-blanc-chateau-mouton-rothschild-bordeaux","1016372","20138123161"
"Chateau Mouton Rothschild","2015","Aile d'Argent Blanc, Chateau Mouton Rothschild, Bordeaux","777","Case of 6 Bottles","https://www.bbr.com/products-20158123161-2015-aile-d-argent-blanc-chateau-mouton-rothschild-bordeaux","1016372","20158123161"
"Chateau Mouton Rothschild","2016","Aile d'Argent Blanc, Chateau Mouton Rothschild, Bordeaux","550","Case of 6 Bottles","https://www.bbr.com/products-20168123161-2016-aile-d-argent-blanc-chateau-mouton-rothschild-bordeaux","1016372","20168123161"
"Chateau Mouton Rothschild","2018","Aile d'Argent Blanc, Chateau Mouton Rothschild, Bordeaux","491","Case of 6 Bottles","https://www.bbr.com/products-20188123161-2018-aile-d-argent-blanc-chateau-mouton-rothschild-bordeaux","1016372","20188123161"
"Chateau Mouton Rothschild","2019","Aile d'Argent Blanc, Chateau Mouton Rothschild, Bordeaux","474","Case of 6 Bottles","https://www.bbr.com/products-20198123161-2019-aile-d-argent-blanc-chateau-mouton-rothschild-bordeaux","1016372","20198123161"
"Chateau Mouton Rothschild","2023","Aile d'Argent Blanc, Chateau Mouton Rothschild, Bordeaux","595","Case of 6 Bottles","https://www.bbr.com/products-20238123161-2023-aile-d-argent-blanc-chateau-mouton-rothschild-bordeaux","1016372","20238123161"
"Akitu, Hawkesbury Estates Ltd","2016","Akitu, A1 Pinot Noir, Central Otago, New Zealand","255","Case of 6 Bottles","https://www.bbr.com/products-20168043269-2016-akitu-a1-pinot-noir-central-otago-new-zealand","1372852","20168043269"
"Akitu, Hawkesbury Estates Ltd","2017","Akitu, A1 Pinot Noir, Central Otago, New Zealand","218","Case of 6 Bottles","https://www.bbr.com/products-20178043269-2017-akitu-a1-pinot-noir-central-otago-new-zealand","1372852","20178043269"
"Akitu, Hawkesbury Estates Ltd","2020","Akitu, A1 Pinot Noir, Central Otago, New Zealand","210","Case of 6 Bottles","https://www.bbr.com/products-20208043269-2020-akitu-a1-pinot-noir-central-otago-new-zealand","1372852","20208043269"
"Akitu, Hawkesbury Estates Ltd","2021","Akitu, A1 Pinot Noir, Central Otago, New Zealand","300","Case of 6 Bottles","https://www.bbr.com/products-20218043269-2021-akitu-a1-pinot-noir-central-otago-new-zealand","1372852","20218043269"
"Podere Giodo","2019","Alberelli di Giodo, Sicily, Italy","250","Case of 6 Bottles","https://www.bbr.com/products-20198147198-2019-alberelli-di-giodo-sicily-italy","1868883","20198147198"
"Alejandro Bulgheroni","2017","Alejandro Bulgheroni, Cabernet Sauvignon, Napa Valley, California, USA","1100","Case of 3 Bottles","https://www.bbr.com/products-20178324904-2017-alejandro-bulgheroni-cabernet-sauvignon-napa-valley-california-usa","2318057","20178324904"
"Alexandre Bain","2018","Alexandre Bain, La Levee, Vin de France","250","Case of 12 Bottles","https://www.bbr.com/products-20188158015-2018-alexandre-bain-la-levee-vin-de-france","2474182","20188158015"
"Alexandre Bain","2019","Alexandre Bain, Pierre Precieuse, Vin de France","265","Case of 12 Bottles","https://www.bbr.com/products-20198242053-2019-alexandre-bain-pierre-precieuse-vin-de-france","1613180","20198242053"
"Alheit Vineyards","2013","Alheit Vineyards, Cartology, Bushvines, Western Cape, South Africa","500","Case of 6 Bottles","https://www.bbr.com/products-20131312520-2013-alheit-vineyards-cartology-bushvines-western-cape-south-africa","1312520","20131312520"
"Alheit Vineyards","2013","Alheit Vineyards, Cartology, Bushvines, Western Cape, South Africa","552","Case of 6 Bottles","https://www.bbr.com/products-20131312520-2013-alheit-vineyards-cartology-bushvines-western-cape-south-africa","1312520","20131312520"
"Alheit Vineyards","2014","Alheit Vineyards, Cartology, Bushvines, Western Cape, South Africa","420","Case of 6 Bottles","https://www.bbr.com/products-20141312520-2014-alheit-vineyards-cartology-bushvines-western-cape-south-africa","1312520","20141312520"
"Alheit Vineyards","2023","Alheit Vineyards, Fire By Night, Chenin Blanc, Western Cape, South Africa","220","Case of 3 Bottles","https://www.bbr.com/products-20238055994-2023-alheit-vineyards-fire-by-night-chenin-blanc-western-cape-south-africa","1374087","20238055994"
"Alheit Vineyards","2024","Alheit Vineyards, Fire By Night, Chenin Blanc, Western Cape, South Africa","345","Case of 6 Bottles","https://www.bbr.com/products-20248055994-2024-alheit-vineyards-fire-by-night-chenin-blanc-western-cape-south-africa","1374087","20248055994"
"Alheit Vineyards","2024","Alheit Vineyards, Huilkrans, Chenin Blanc, Western Cape, South Africa","390","Case of 6 Bottles","https://www.bbr.com/products-20248175375-2024-alheit-vineyards-huilkrans-chenin-blanc-western-cape-south-africa","1723380","20248175375"
"Alheit Vineyards","2018","Alheit Vineyards, Magnetic North, Chenin Blanc, Western Cape, South Africa","485","Case of 6 Bottles","https://www.bbr.com/products-20188055981-2018-alheit-vineyards-magnetic-north-chenin-blanc-western-cape-south-africa","1374087","20188055981"
"Alheit Vineyards","2020","Alheit Vineyards, Magnetic North, Chenin Blanc, Western Cape, South Africa","410","Case of 6 Bottles","https://www.bbr.com/products-20208055981-2020-alheit-vineyards-magnetic-north-chenin-blanc-western-cape-south-africa","1374087","20208055981"
"Finca Allende","2009","Allende Tinto, Rioja, Spain","126","Case of 6 Bottles","https://www.bbr.com/products-20091229853-2009-allende-tinto-rioja-spain","1229853","20091229853"
"Finca Allende","2011","Allende Tinto, Rioja, Spain","210","Case of 12 Bottles","https://www.bbr.com/products-20111229853-2011-allende-tinto-rioja-spain","1229853","20111229853"
"Almaviva","2014","Almaviva, Maipo Valley, Chile","600","Case of 6 Bottles","https://www.bbr.com/products-20141083246-2014-almaviva-maipo-valley-chile","1083246","20141083246"
"Almaviva","2015","Almaviva, Maipo Valley, Chile","630","Case of 6 Bottles","https://www.bbr.com/products-20151083246-2015-almaviva-maipo-valley-chile","1083246","20151083246"
"Almaviva","2015","Almaviva, Maipo Valley, Chile","1000","Case of 12 Half Bottles","https://www.bbr.com/products-20151083246-2015-almaviva-maipo-valley-chile","1083246","20151083246"
"Almaviva","2016","Almaviva, Maipo Valley, Chile","760","Case of 6 Bottles","https://www.bbr.com/products-20161083246-2016-almaviva-maipo-valley-chile","1083246","20161083246"
"Almaviva","2017","Almaviva, Maipo Valley, Chile","660","Case of 6 Bottles","https://www.bbr.com/products-20171083246-2017-almaviva-maipo-valley-chile","1083246","20171083246"
"Almaviva","2017","Almaviva, Maipo Valley, Chile","950","Case of 6 Bottles","https://www.bbr.com/products-20171083246-2017-almaviva-maipo-valley-chile","1083246","20171083246"
"Almaviva","2018","Almaviva, Maipo Valley, Chile","620","Case of 6 Bottles","https://www.bbr.com/products-20181083246-2018-almaviva-maipo-valley-chile","1083246","20181083246"
"Almaviva","2020","Almaviva, Maipo Valley, Chile","650","Case of 6 Bottles","https://www.bbr.com/products-20201083246-2020-almaviva-maipo-valley-chile","1083246","20201083246"
"Almaviva","2021","Almaviva, Maipo Valley, Chile","550","Case of 6 Bottles","https://www.bbr.com/products-20211083246-2021-almaviva-maipo-valley-chile","1083246","20211083246"
"Philippe Pacalet","2017","Aloxe Corton, 1er Cru, Domaine Philippe Pacalet, Burgundy","1105","Case of 12 Bottles","https://www.bbr.com/products-20178051866-2017-aloxe-corton-1er-cru-domaine-philippe-pacalet-burgundy","1805563","20178051866"
"Philippe Pacalet","2019","Aloxe Corton, 1er Cru, Domaine Philippe Pacalet, Burgundy","1072","Case of 12 Bottles","https://www.bbr.com/products-20198051866-2019-aloxe-corton-1er-cru-domaine-philippe-pacalet-burgundy","1805563","20198051866"
"Domaine Follin-Arbelet","2019","Aloxe-Corton, Domaine Follin-Arbelet, Burgundy","175","Case of 6 Bottles","https://www.bbr.com/products-20191031898-2019-aloxe-corton-domaine-follin-arbelet-burgundy","1031898","20191031898"
"Domaine Follin-Arbelet","2021","Aloxe-Corton, Domaine Follin-Arbelet, Burgundy","290","Case of 6 Bottles","https://www.bbr.com/products-20211031898-2021-aloxe-corton-domaine-follin-arbelet-burgundy","1031898","20211031898"
"Tollot-Beaut","2015","Aloxe-Corton, Domaine Tollot-Beaut, Burgundy","380","Case of 6 Bottles","https://www.bbr.com/products-20151058347-2015-aloxe-corton-domaine-tollot-beaut-burgundy","1058347","20151058347"
"Domaine Henri Magnien","2023","Aloxe-Corton, La Coutiere, 1er Cru, Henri Magnien, Burgundy","340","Case of 6 Bottles","https://www.bbr.com/products-20238160304-2023-aloxe-corton-la-coutiere-1er-cru-henri-magnien-burgundy","1974362","20238160304"
"Domaine Thibault Liger-Belair","2012","Aloxe-Corton, La Toppe au Vert, 1er Cru, Thibault Liger-Belair Successeurs, Burgundy","745","Case of 6 Bottles","https://www.bbr.com/products-20128012355-2012-aloxe-corton-la-toppe-au-vert-1er-cru-thibault-liger-belair-successeurs-burgundy","1132032","20128012355"
"Domaine Thibault Liger-Belair","2014","Aloxe-Corton, La Toppe au Vert, 1er Cru, Thibault Liger-Belair Successeurs, Burgundy","500","Case of 6 Bottles","https://www.bbr.com/products-20148012355-2014-aloxe-corton-la-toppe-au-vert-1er-cru-thibault-liger-belair-successeurs-burgundy","1132032","20148012355"
"Domaine Thibault Liger-Belair","2015","Aloxe-Corton, La Toppe au Vert, 1er Cru, Thibault Liger-Belair Successeurs, Burgundy","375","Case of 6 Bottles","https://www.bbr.com/products-20158012355-2015-aloxe-corton-la-toppe-au-vert-1er-cru-thibault-liger-belair-successeurs-burgundy","1132032","20158012355"
"Domaine Thibault Liger-Belair","2020","Aloxe-Corton, La Toppe au Vert, 1er Cru, Thibault Liger-Belair Successeurs, Burgundy","376","Case of 6 Bottles","https://www.bbr.com/products-20208012355-2020-aloxe-corton-la-toppe-au-vert-1er-cru-thibault-liger-belair-successeurs-burgundy","1132032","20208012355"
"Domaine Thibault Liger-Belair","2020","Aloxe-Corton, La Toppe au Vert, 1er Cru, Thibault Liger-Belair Successeurs, Burgundy","400","Case of 3 Magnums","https://www.bbr.com/products-20208012355-2020-aloxe-corton-la-toppe-au-vert-1er-cru-thibault-liger-belair-successeurs-burgundy","1132032","20208012355"
"Domaine Jean-Baptiste Boudier","2019","Aloxe-Corton, Les Combes, Domaine Jean-Baptiste Boudier, Burgundy","550","Case of 12 Bottles","https://www.bbr.com/products-20198150918-2019-aloxe-corton-les-combes-domaine-jean-baptiste-boudier-burgundy","1934841","20198150918"
"Tollot-Beaut","2018","Aloxe-Corton, Les Fournieres, 1er Cru, Domaine Tollot-Beaut, Burgundy","365","Case of 6 Bottles","https://www.bbr.com/products-20181058350-2018-aloxe-corton-les-fournieres-1er-cru-domaine-tollot-beaut-burgundy","1058350","20181058350"
"Tollot-Beaut","2019","Aloxe-Corton, Les Fournieres, 1er Cru, Domaine Tollot-Beaut, Burgundy","138","Case of 3 Bottles","https://www.bbr.com/products-20191058350-2019-aloxe-corton-les-fournieres-1er-cru-domaine-tollot-beaut-burgundy","1058350","20191058350"
"Charles Lachaux","2023","Aloxe-Corton, Les Valoxieries, 1er Cru, Charles Lachaux, Burgundy","2700","Case of 6 Bottles","https://www.bbr.com/products-20238183493-2023-aloxe-corton-les-valoxieries-1er-cru-charles-lachaux-burgundy","2151850","20238183493"
"Domaine Gerard Julien & Fils","2019","Aloxe-Corton, Les Valozieres, Domaine Gerard Julien & Fils, Burgundy","195","Case of 3 Magnums","https://www.bbr.com/products-20198306070-2019-aloxe-corton-les-valozieres-domaine-gerard-julien-fils-burgundy","1451698","20198306070"
"Domaine Gerard Julien & Fils","2018","Aloxe-Corton, Les Valozieres, Domaine Gerard Julien &amp; Fils, Burgundy","125","Case of 6 Bottles","https://www.bbr.com/products-20188306070-2018-aloxe-corton-les-valozieres-domaine-gerard-julien-and-fils-burgundy","1451698","20188306070"
"Domaine Follin-Arbelet","2020","Aloxe-Corton, Les Vercots, 1er Cru, Domaine Follin-Arbelet, Burgundy","276","Case of 6 Bottles","https://www.bbr.com/products-20201031915-2020-aloxe-corton-les-vercots-1er-cru-domaine-follin-arbelet-burgundy","1031915","20201031915"
"Chateau Palmer","2009","Alter Ego de Palmer, Margaux, Bordeaux","1200","Case of 12 Bottles","https://www.bbr.com/products-20098004295-2009-alter-ego-de-palmer-margaux-bordeaux","1005989","20098004295"
"Chateau Palmer","2010","Alter Ego de Palmer, Margaux, Bordeaux","466","Case of 6 Bottles","https://www.bbr.com/products-20108004295-2010-alter-ego-de-palmer-margaux-bordeaux","1005989","20108004295"
"Chateau Palmer","2010","Alter Ego de Palmer, Margaux, Bordeaux","1025","Case of 6 Magnums","https://www.bbr.com/products-20108004295-2010-alter-ego-de-palmer-margaux-bordeaux","1005989","20108004295"
"Chateau Palmer","2012","Alter Ego de Palmer, Margaux, Bordeaux","420","Case of 6 Bottles","https://www.bbr.com/products-20128004295-2012-alter-ego-de-palmer-margaux-bordeaux","1005989","20128004295"
"Chateau Palmer","2014","Alter Ego de Palmer, Margaux, Bordeaux","300","Case of 6 Bottles","https://www.bbr.com/products-20148004295-2014-alter-ego-de-palmer-margaux-bordeaux","1005989","20148004295"
"Chateau Palmer","2014","Alter Ego de Palmer, Margaux, Bordeaux","380","Case of 3 Magnums","https://www.bbr.com/products-20148004295-2014-alter-ego-de-palmer-margaux-bordeaux","1005989","20148004295"
"Chateau Palmer","2015","Alter Ego de Palmer, Margaux, Bordeaux","760","Case of 12 Bottles","https://www.bbr.com/products-20158004295-2015-alter-ego-de-palmer-margaux-bordeaux","1005989","20158004295"
"Chateau Palmer","2015","Alter Ego de Palmer, Margaux, Bordeaux","384","Case of 6 Bottles","https://www.bbr.com/products-20158004295-2015-alter-ego-de-palmer-margaux-bordeaux","1005989","20158004295"
"Chateau Palmer","2015","Alter Ego de Palmer, Margaux, Bordeaux","300","Case of 1 Double Magnums","https://www.bbr.com/products-20158004295-2015-alter-ego-de-palmer-margaux-bordeaux","1005989","20158004295"
"Chateau Palmer","2015","Alter Ego de Palmer, Margaux, Bordeaux","450","Case of 3 Magnums","https://www.bbr.com/products-20158004295-2015-alter-ego-de-palmer-margaux-bordeaux","1005989","20158004295"
"Chateau Palmer","2016","Alter Ego de Palmer, Margaux, Bordeaux","490","Case of 6 Bottles","https://www.bbr.com/products-20168004295-2016-alter-ego-de-palmer-margaux-bordeaux","1005989","20168004295"
"Chateau Palmer","2016","Alter Ego de Palmer, Margaux, Bordeaux","420","Case of 6 Bottles","https://www.bbr.com/products-20168004295-2016-alter-ego-de-palmer-margaux-bordeaux","1005989","20168004295"
"Chateau Palmer","2017","Alter Ego de Palmer, Margaux, Bordeaux","350","Case of 6 Bottles","https://www.bbr.com/products-20178004295-2017-alter-ego-de-palmer-margaux-bordeaux","1005989","20178004295"
"Chateau Palmer","2017","Alter Ego de Palmer, Margaux, Bordeaux","335","Case of 6 Bottles","https://www.bbr.com/products-20178004295-2017-alter-ego-de-palmer-margaux-bordeaux","1005989","20178004295"
"Chateau Palmer","2017","Alter Ego de Palmer, Margaux, Bordeaux","380","Case of 3 Magnums","https://www.bbr.com/products-20178004295-2017-alter-ego-de-palmer-margaux-bordeaux","1005989","20178004295"
"Chateau Palmer","2019","Alter Ego de Palmer, Margaux, Bordeaux","310","Case of 6 Bottles","https://www.bbr.com/products-20198004295-2019-alter-ego-de-palmer-margaux-bordeaux","1005989","20198004295"
"Chateau Palmer","2019","Alter Ego de Palmer, Margaux, Bordeaux","336","Case of 3 Magnums","https://www.bbr.com/products-20198004295-2019-alter-ego-de-palmer-margaux-bordeaux","1005989","20198004295"
"Chateau Palmer","2019","Alter Ego de Palmer, Margaux, Bordeaux","725","Case of 1 Salmanazars","https://www.bbr.com/products-20198004295-2019-alter-ego-de-palmer-margaux-bordeaux","1005989","20198004295"
"Chateau Palmer","2020","Alter Ego de Palmer, Margaux, Bordeaux","280","Case of 6 Bottles","https://www.bbr.com/products-20208004295-2020-alter-ego-de-palmer-margaux-bordeaux","1005989","20208004295"
"Chateau Palmer","2020","Alter Ego de Palmer, Margaux, Bordeaux","330","Case of 6 Bottles","https://www.bbr.com/products-20208004295-2020-alter-ego-de-palmer-margaux-bordeaux","1005989","20208004295"
"Chateau Palmer","2020","Alter Ego de Palmer, Margaux, Bordeaux","275","Case of 3 Magnums","https://www.bbr.com/products-20208004295-2020-alter-ego-de-palmer-margaux-bordeaux","1005989","20208004295"
"Chateau Palmer","2021","Alter Ego de Palmer, Margaux, Bordeaux","287","Case of 6 Bottles","https://www.bbr.com/products-20218004295-2021-alter-ego-de-palmer-margaux-bordeaux","1005989","20218004295"
"Chateau Palmer","2022","Alter Ego de Palmer, Margaux, Bordeaux","350","Case of 6 Bottles","https://www.bbr.com/products-20228004295-2022-alter-ego-de-palmer-margaux-bordeaux","1005989","20228004295"
"Chateau Palmer","2022","Alter Ego de Palmer, Margaux, Bordeaux","695","Case of 3 Magnums","https://www.bbr.com/products-20228004295-2022-alter-ego-de-palmer-margaux-bordeaux","1005989","20228004295"
"Telmo Rodriguez","2012","Altos Lanzaga, Telmo Rodriguez, Rioja, Spain","336","Case of 6 Bottles","https://www.bbr.com/products-20121219786-2012-altos-lanzaga-telmo-rodriguez-rioja-spain","1219786","20121219786"
