code,name,vintage,grower,colour,region,appellation,currency,tax,pack,size,lwin,bordeauxCode,productType,url,offer_price,offer_cs,offer_btl
LAFI21B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2021,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,903777,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2021,372.5,1,0
LAFI19B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2019,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1397005,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2019,388.33,1,0
LAFI10B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2010,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396849,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2010,538.33,1,0
KANPS2022BTL,"Kanonkop, Paul Sauer, Stellenbosch",2022,Kanonkop,Red,Coastal Region,Stellenbosch,GBP,IB,6,75,1140163,2208445,Wine,https://bordeauxindex.com/fine-wine/south_africa/coastal_region/kanps-2022,36.67,31,0
GRAN20B,"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2020,Chateau Grand-Puy-Lacoste,Red,Bordeaux,Pauillac,GBP,IB,6,75,1010787,1396558,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/gran-2020,40.0,1,0
GRAN14B,"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2014,Chateau Grand-Puy-Lacoste,Red,Bordeaux,Pauillac,GBP,IB,6,75,1010787,1396829,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/gran-2014,43.33,1,0
LEOV20B,"Chateau Leoville Barton 2eme Cru Classe, Saint-Julien",2020,Chateau Leoville Barton,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012361,1396864,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/leov-2020,50.83,1,0
CARM21B,"Chateau Les Carmes Haut-Brion, Pessac-Leognan",2021,Chateau Les Carmes Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1007808,924529,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/carm-2021,52.5,1,0
PONT12B,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2012,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014307,1396620,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2012,55.0,1,0
GRAN16B,"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2016,Chateau Grand-Puy-Lacoste,Red,Bordeaux,Pauillac,GBP,IB,6,75,1010787,1396717,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/gran-2016,55.83,1,0
BEYC20B,"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2020,Chateau Beychevelle,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1007101,1396907,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/beyc-2020,63.33,1,0
BEYC19B,"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2019,Chateau Beychevelle,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1007101,1396978,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/beyc-2019,64.17,1,0
PONT15B,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2015,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014307,1396983,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2015,71.67,1,0
LEPO16B,"Chateau Leoville Poyferre 2eme Cru Classe, Saint-Julien",2016,Chateau Leoville Poyferre,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012387,1396812,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lepo-2016,73.33,1,0
COSD11B,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",2011,Cos d'Estournel,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1008788,1396531,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cosd-2011,83.33,1,0
PICB17B,"Chateau Pichon Baron 2eme Cru Classe, Pauillac",2017,Chateau Pichon Baron,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014163,1396814,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/picb-2017,85.0,1,0
PICB14B,"Chateau Pichon Baron 2eme Cru Classe, Pauillac",2014,Chateau Pichon Baron,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014163,1396892,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/picb-2014,91.67,1,0
COSD20B,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",2020,Cos d'Estournel,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1008788,1396777,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cosd-2020,96.67,1,0
LELA14B,"Chateau Leoville Las Cases 2eme Cru Classe, Saint-Julien",2014,Chateau Leoville Las Cases,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012374,1396569,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lela-2014,109.17,1,0
LELA11B,"Chateau Leoville Las Cases 2eme Cru Classe, Saint-Julien",2011,Chateau Leoville Las Cases,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012374,1396708,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lela-2011,109.17,1,0
LELA07B,"Chateau Leoville Las Cases 2eme Cru Classe, Saint-Julien",2007,Chateau Leoville Las Cases,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012374,1396633,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lela-2007,116.67,1,0
COSD15B,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",2015,Cos d'Estournel,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1008788,1396946,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cosd-2015,119.17,1,0
MONT16B,"Chateau Montrose 2eme Cru Classe, Saint-Estephe",2016,Chateau Montrose,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1013296,1396594,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/mont-2016,145.0,1,0
LELA15B,"Chateau Leoville Las Cases 2eme Cru Classe, Saint-Julien",2015,Chateau Leoville Las Cases,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012374,1396678,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lela-2015,145.0,1,0
PALM17B,"Chateau Palmer 3eme Cru Classe, Margaux",2017,Chateau Palmer,Red,Bordeaux,Margaux,GBP,IB,6,75,1013658,1396933,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/palm-2017,145.83,1,0
LANG17B,"Chateau Angelus, Saint-Emilion Grand Cru",2017,Chateau Angelus,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1006045,1396880,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lang-2017,193.33,1,0
SASS12B,"Sassicaia, Tenuta San Guido, Bolgheri",2012,Tenuta San Guido,Red,Tuscany,Bolgheri,GBP,IB,6,75,1102037,1502223,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sass-2012,195.0,1,0
SOLA12B,"Solaia, Toscana",2012,Antinori,Red,Tuscany,Toscana,GBP,IB,6,75,1095388,1502245,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2012,225.0,1,0
HAUT11B,"Chateau Haut-Brion Premier Cru Classe, Pessac-Leognan",2011,Chateau Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1011247,1396816,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/haut-2011,270.83,1,0
CHEV17B,"Chateau Cheval Blanc, Saint-Emilion Grand Cru",2017,Chateau Cheval Blanc,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1008108,1396790,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/chev-2017,333.33,1,0
CHEV12B,"Chateau Cheval Blanc, Saint-Emilion Grand Cru",2012,Chateau Cheval Blanc,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1008108,1396676,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/chev-2012,350.0,1,0
LAFI09B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2009,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396863,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2009,519.17,1,0
LEPO19B,"Chateau Leoville Poyferre 2eme Cru Classe, Saint-Julien",2019,Chateau Leoville Poyferre,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012387,1396909,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lepo-2019,50.0,1,0
LEOV18B,"Chateau Leoville Barton 2eme Cru Classe, Saint-Julien",2018,Chateau Leoville Barton,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012361,1396817,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/leov-2018,52.5,1,0
LEOV19B,"Chateau Leoville Barton 2eme Cru Classe, Saint-Julien",2019,Chateau Leoville Barton,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012361,1396720,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/leov-2019,52.83,1,0
SMI17B,"Chateau Smith Haut Lafitte, Rouge Cru Classe, Pessac-Leognan",2017,Chateau Smith Haut Lafitte,Red,Bordeaux,Pessac-Leognan,GBP,IB,6,75,1015261,1396618,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/smi-2017,58.33,1,0
BEYC10B,"Chateau Beychevelle 4eme Cru Classe, Saint-Julien",2010,Chateau Beychevelle,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1007101,1396716,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/beyc-2010,83.33,1,0
CONS20B,"Chateau La Conseillante, Pomerol",2020,Chateau La Conseillante,Red,Bordeaux,Pomerol,GBP,IB,6,75,1008746,913254,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cons-2020,139.17,1,0
FIGE16B,"Chateau Figeac Premier Grand Cru Classe A, Saint-Emilion Grand Cru",2016,Chateau Figeac,Red,Bordeaux,Saint-Emilion Grand Cru,GBP,IB,6,75,1009769,1396935,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/fige-2016,150.0,1,0
