code,name,vintage,grower,colour,region,appellation,currency,tax,pack,size,lwin,bordeauxCode,productType,url,offer_price,offer_cs,offer_btl
DOMP202B,"Dom Perignon, P2",2002,Dom Perignon,White,Champagne,None,GBP,IB,3,75,1277359,1409893,Wine,https://bordeauxindex.com/fine-wine/france/champagne/domp2-2002,325.0,1,0
PALM21B,"Chateau Palmer 3eme Cru Classe, Margaux",2021,Chateau Palmer,Red,Bordeaux,Margaux,GBP,IB,3,75,1013658,881217,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/palm-2021,123.33,1,0
AMABL2022BTL,"Castello di Ama, Chianti Classico, Vigneto Bellavista Gran Selezione",2022,Castello di Ama,Red,Tuscany,Chianti Classico,GBP,IB,3,75,1097395,2204346,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/amabl-2022,175.0,2,0
MONBR2023BTL,"Ridge, Monte Bello, Santa Cruz Mountains",2023,Ridge,Red,California,None,GBP,IB,3,75,1123164,2051579,Wine,https://bordeauxindex.com/fine-wine/united_states/california/monbr-2023,189.0,4,0
HBCC16B,"Henri Boillot, Corton-Charlemagne Grand Cru",2016,Henri Boillot,White,Burgundy,Corton-Charlemagne,GBP,IB,3,75,1061066,899404,Wine,https://bordeauxindex.com/fine-wine/france/burgundy/hbcc-2016,215.0,1,0
SOLA2021BTL,"Solaia, Toscana",2021,Antinori,Red,Tuscany,Toscana,GBP,IB,3,75,1095388,2083947,Wine,https://bordeauxindex.com/fine-wine/italy/tuscany/sola-2021,218.33,1,0
BMPR2024BTL,"Bachelet-Monnot, Puligny-Montrachet Premier Cru, Les Referts",2024,Bachelet-Monnot,White,Burgundy,Puligny-Montrachet,GBP,IB,3,75,1060229,3430712,Wine,https://bordeauxindex.com/fine-wine/france/burgundy/bmpr-2024,130.0,7,0
TAICR2013BTL,"Taittinger, Comtes de Champagne Rose",2013,Taittinger,Rose,Champagne,None,GBP,IB,3,75,1314380,3431029,Wine,https://bordeauxindex.com/fine-wine/france/champagne/taicr-2013,140.0,1,0
BMPF2024BTL,"Bachelet-Monnot, Puligny-Montrachet Premier Cru, Les Folatieres",2024,Bachelet-Monnot,White,Burgundy,Puligny-Montrachet,GBP,IB,3,75,1060216,3430713,Wine,https://bordeauxindex.com/fine-wine/france/burgundy/bmpf-2024,140.0,11,0
CAPVV2024BTL,"Symington, Capela da Quinta do Vesuvio Vintage Port",2024,Symington,,Porto,None,GBP,IB,3,75,1312559,3430618,Wine,https://bordeauxindex.com/fine-wine/portugal/porto/capvv-2024,130.0,1,0
GRAHS2024BTL,"Graham's, The Stone Terraces Vintage Port",2024,Graham's,,Porto,None,GBP,IB,3,75,1215980,3430615,Wine,https://bordeauxindex.com/fine-wine/portugal/porto/grahs-2024,170.0,4,0
COSD20M,"Cos d'Estournel 2eme Cru Classe, Saint-Estephe",2020,Cos d'Estournel,Red,Bordeaux,Saint-Estephe,GBP,IB,3,150,1008788,1409661,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/cosd-2020,216.67,1,0
CARM2024MAG,"Chateau Les Carmes Haut-Brion, Pessac-Leognan",2024,Chateau Les Carmes Haut-Brion,Red,Bordeaux,Pessac-Leognan,GBP,IB,3,150,1007808,2529702,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/carm-2024,122.0,1,0
PONT2024MAG,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2024,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,3,150,1014307,2555736,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2024,124.0,1,0
WARR2024MAG,"Warre's, Vintage Port",2024,Warre's,,Porto,None,GBP,IB,3,150,1692750,3430633,Wine,https://bordeauxindex.com/fine-wine/portugal/porto/warr-2024,96.0,1,0
QUIV2024MAG,"Symington, Quinta do Vesuvio Vintage Port",2024,Symington,,Porto,None,GBP,IB,3,150,1107902,3430640,Wine,https://bordeauxindex.com/fine-wine/portugal/porto/quiv-2024,96.0,1,0
GRAH2024MAG,"Graham's, Vintage Port",2024,Graham's,,Porto,None,GBP,IB,3,150,1107713,3430623,Wine,https://bordeauxindex.com/fine-wine/portugal/porto/grah-2024,120.0,1,0
MONT15B,"Chateau Montrose 2eme Cru Classe, Saint-Estephe",2015,Chateau Montrose,Red,Bordeaux,Saint-Estephe,GBP,IB,6,75,1013296,1396670,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/mont-2015,98.33,1,0
LAFI14B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2014,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396759,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2014,375.83,1,0
LAFI12B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2012,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396636,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2012,379.17,1,0
LAFI20B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2020,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396884,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2020,381.67,1,0
LAFI13B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2013,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396578,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2013,383.33,1,0
LAFI11B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2011,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1396945,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2011,390.0,1,0
LAFI15B,"Chateau Lafite Rothschild Premier Cru Classe, Pauillac",2015,Chateau Lafite Rothschild,Red,Bordeaux,Pauillac,GBP,IB,6,75,1011872,1397000,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/lafi-2015,409.17,1,0
GLOR22B,"Chateau Gloria, Saint-Julien",2022,Chateau Gloria,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1010598,901896,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/glor-2022,31.33,2,0
GRAN21B,"Chateau Grand-Puy-Lacoste 5eme Cru Classe, Pauillac",2021,Chateau Grand-Puy-Lacoste,Red,Bordeaux,Pauillac,GBP,IB,6,75,1010787,905281,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/gran-2021,35.0,1,0
LEOV21B,"Chateau Leoville Barton 2eme Cru Classe, Saint-Julien",2021,Chateau Leoville Barton,Red,Bordeaux,Saint-Julien,GBP,IB,6,75,1012361,919421,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/leov-2021,40.83,1,0
RALLAS2024BTL,"Rall, AVA Syrah, Swartland",2024,Rall,Red,Coastal Region,Swartland,GBP,IB,6,75,1873955,2210722,Wine,https://bordeauxindex.com/fine-wine/south_africa/coastal_region/RALLAS-2024,44.17,1,0
PONT21B,"Chateau Pontet-Canet 5eme Cru Classe, Pauillac",2021,Chateau Pontet-Canet,Red,Bordeaux,Pauillac,GBP,IB,6,75,1014307,925802,Wine,https://bordeauxindex.com/fine-wine/france/bordeaux/pont-2021,46.67,1,0
